uBench  | BENCH: 2470338 -2919
uBench  | BENCH: 2470000 -32917
uBench  | BENCH: 2468618 -64297
uBench  | BENCH: 2467875 -96420
uBench  | BENCH: 2589400 -7018
uBench  | BENCH: 2469925 -37091
uBench  | BENCH: 2467675 -69414
uBench  | BENCH: 2467907 -101505
uBench  | BENCH: 2589956 -11547
uBench  | BENCH: 2469775 -41770
uBench  | BENCH: 2467212 -74556
uBench  | BENCH: 2587838 13284
uBench  | BENCH: 2469887 -16827
uBench  | BENCH: 2470575 -46250
uBench  | BENCH: 2465975 -80273
uBench  | BENCH: 2594794 14523
uBench  | BENCH: 2392800 -92675
uBench  | BENCH: 2644819 52146
uBench  | BENCH: 2351381 -96471
uBench  | BENCH: 2590119 -6350
uBench  | BENCH: 2468744 -37604
uBench  | BENCH: 2467950 -69652
uBench  | BENCH: 2467662 -101988
uBench  | BENCH: 2589850 -12136
uBench  | BENCH: 2469250 -42884
uBench  | BENCH: 2468131 -74751
uBench  | BENCH: 2587494 12745
uBench  | BENCH: 2470975 -16278
uBench  | BENCH: 2470213 -46063
uBench  | BENCH: 2465206 -80855
uBench  | BENCH: 2939044 358191
uBench  | BENCH: 2194850 53043
uBench  | BENCH: 2448606 1651
uBench  | BENCH: 2470906 -27441
uBench  | BENCH: 2816863 289424
uBench  | BENCH: 2121243 -89331
uBench  | BENCH: 2592700 3371
uBench  | BENCH: 2471894 -24733
uBench  | BENCH: 2470181 -54550
uBench  | BENCH: 2465894 -88654
uBench  | BENCH: 2589463 811
uBench  | BENCH: 2469800 -29387
uBench  | BENCH: 2469806 -59579
uBench  | BENCH: 2466237 -93340
uBench  | BENCH: 2589044 -4294
uBench  | BENCH: 2470144 -34148
uBench  | BENCH: 2468581 -65565
uBench  | BENCH: 2656769 91206
uBench  | BENCH: 2329387 -79405
uBench  | BENCH: 2936788 357385
uBench  | BENCH: 2472950 330337
uBench  | BENCH: 2125144 -44517
uBench  | BENCH: 2467843 -76672
uBench  | BENCH: 2589544 12874
uBench  | BENCH: 2470338 -16786
uBench  | BENCH: 2471287 -45497
uBench  | BENCH: 2468475 -77020
uBench  | BENCH: 2935338 358320
uBench  | BENCH: 2473375 331697
uBench  | BENCH: 2123618 -44683
uBench  | BENCH: 2468738 -75943
uBench  | BENCH: 2587387 11446
uBench  | BENCH: 2470688 -17864
uBench  | BENCH: 2647562 129700
uBench  | BENCH: 2341594 -28704
uBench  | BENCH: 2469888 -58814
uBench  | BENCH: 2468331 -90481
uBench  | BENCH: 2589975 -504
uBench  | BENCH: 2470856 -29646
uBench  | BENCH: 2470006 -59638
uBench  | BENCH: 2466207 -93429
uBench  | BENCH: 2590318 -3109
uBench  | BENCH: 2469700 -33407
uBench  | BENCH: 2465932 -67473
uBench  | BENCH: 2469625 -97846
uBench  | BENCH: 2589543 -8301
uBench  | BENCH: 2469363 -38936
uBench  | BENCH: 2468275 -70659
uBench  | BENCH: 2642819 72162
uBench  | BENCH: 2597312 169476
uBench  | BENCH: 2277069 -53453
uBench  | BENCH: 2465150 -88301
uBench  | BENCH: 2589494 1195
uBench  | BENCH: 2469981 -28822
uBench  | BENCH: 2469969 -58851
uBench  | BENCH: 2465300 -93549
uBench  | BENCH: 2589512 -4035
uBench  | BENCH: 2469756 -34277
uBench  | BENCH: 2468563 -65712
uBench  | BENCH: 2467875 -97835
uBench  | BENCH: 2590744 -7089
uBench  | BENCH: 2469281 -37806
uBench  | BENCH: 2467550 -70254
uBench  | BENCH: 2468431 -101821
uBench  | BENCH: 2589850 -11969
uBench  | BENCH: 2709388 197421
uBench  | BENCH: 2278806 -23771
uBench  | BENCH: 2468819 -54950
uBench  | BENCH: 2467462 -87486
uBench  | BENCH: 2589550 2066
uBench  | BENCH: 2470138 -27794
uBench  | BENCH: 2468912 -58880
uBench  | BENCH: 2466163 -92715
uBench  | BENCH: 2590168 -2545
uBench  | BENCH: 2470150 -32393
uBench  | BENCH: 2466757 -65634
uBench  | BENCH: 2468918 -96714
uBench  | BENCH: 2589950 -6762
uBench  | BENCH: 2469369 -37391
uBench  | BENCH: 2467675 -69714
uBench  | BENCH: 2468163 -101549
uBench  | BENCH: 2835256 233709
uBench  | BENCH: 2273412 7123
uBench  | BENCH: 2469632 -23243
uBench  | BENCH: 2817400 294159
uBench  | BENCH: 2120362 -85477
